id,kategori,soru,cevap
38,Genel,Erasmus+ bütçesi nereden sağlanır?,Avrupa Komisyonu tarafından finanse edilir.
39,Genel,Erasmus başvurusu için yaş sınırı var mı?,"Hayır, belirli bir yaş sınırı yoktur."
40,Genel,Erasmus öğrencileri vize almak zorunda mı?,"Evet, AB üyesi olmayan ülkelerin vatandaşları vize almak zorundadır."
41,Genel,Erasmus öğrencileri için banka hesabı gerekiyor mu?,"Evet, hibe ödemeleri için öğrencinin kendi adına banka hesabı bulunmalıdır."
42,Genel,Erasmus öğrencileri için sağlık sigortası zorunlu mu?,"Evet, sağlık sigortası yaptırmak zorunludur."
43,Genel,Erasmus+ 2025 döneminde neler değişti?,"Dijitalleşme, kapsayıcılık ve yeşil Erasmus temaları ön plana çıkmıştır."
44,Genel,Erasmus öğrencileri dönüşte hangi belgeleri teslim eder?,"Katılım sertifikası, pasaport giriş-çıkış sayfaları ve final raporu teslim edilir."
51,Öğrenci,Vize reddi durumunda ne yapmalıyım?,"Vize reddi durumunda, karara itiraz edebilir ve Uluslararası İlişkiler Ofisi ile iletişime geçerek durumu değerlendirmelerini isteyebilirsiniz. Genellikle vize süreci ile ilgili ek destek sağlanır."
52,Öğrenci,Öğrenim Anlaşması (Learning Agreement) neden önemlidir?,"Öğrenim Anlaşması, yurtdışında alacağınız derslerin, dönüşte kendi üniversitenizdeki hangi derslere sayılacağını belirleyen resmi bir belgedir."
53,Öğrenci,Erasmus sırasında ders değiştirilebilir mi?,"Evet, ancak ders değişiklikleri hareketliliğin başlamasından itibaren belirli bir süre içinde yapılmalı ve hem gönderen hem de kabul eden kurumun onayını almalıdır."
54,Öğrenci,Erasmus öğrencisi ek hibe alabilir mi?,"Evet, maddi durumu yetersiz olan öğrencilere, özel gereksinimli öğrencilere veya yeşil seyahat yapanlara ek hibe desteği sağlanabilir."
55,Öğrenci,Green Erasmus (Yeşil Erasmus) nedir?,"Green Erasmus, öğrenci ve personel hareketliliğinde sürdürülebilir ulaşım araçlarını (tren, otobüs vb.) tercih eden katılımcılara sağlanan ek maddi destektir."
56,Öğrenci,Erasmus hareketliliği sırasında kaç kredi almalıyım?,"Hareketliliğin başarılı sayılması için dönem başına genellikle en az 30 ECTS kredisi veya eşdeğeri kadar ders yükü alınması beklenir."
57,Öğretmen,Erasmus projelerinde KA220 ne anlama gelir?,"KA220, farklı sektörler arasında (Okul, Yetişkin Eğitimi, Mesleki Eğitim) işbirliği ortaklıklarını içeren büyük ölçekli Erasmus+ projelerinin kod adıdır."
58,Genel,Erasmus+ ile ilgili şikayetlerimi nereye iletmeliyim?,"Şikayetler, öncelikle üniversitenizin Erasmus Koordinatörlüğü'ne, çözülmemesi durumunda ise Ulusal Ajans'a iletilmelidir."
59,Genel,Hibenin %20'lik kalan kısmı ne zaman ödenir?,"Kalan %20'lik dilim, hareketlilik sona erdikten, gerekli belgeler (Katılım Sertifikası, Final Raporu) teslim edildikten ve başarı durumu değerlendirildikten sonra ödenir."
60,Genel,Erasmus+ programında dijitalleşme teması neyi kapsar?,"Dijitalleşme teması, çevrimiçi eğitim, sanal hareketlilik bileşenleri ve mobil araçların öğrenme süreçlerinde kullanımını teşvik etmeyi kapsar."
61,Öğrenci,Başvuru aşamasında hangi belgelerin fotokopisi, hangilerinin orijinali gerekir?,"Başvuru formunun, niyet mektubunun ve dil belgesinin orijinali veya ıslak imzalı kopyası, transkriptin ise genellikle fotokopisi kabul edilir."
62,Öğrenci,Not ortalaması (AGNO/CGPA) hesaplanırken hangi transkript esas alınır?,"Başvuru tarihine kadar alınan tüm notları içeren, güncel ve resmi transkript (öğrenci işleri onaylı) esas alınır."
63,Öğrenci,Dil sınavına girmek zorunlu mudur? Yoksa sadece TOEFL/IELTS gibi belgeler kabul edilir mi?,"Üniversitenizin belirlediği takvime göre yapılan yazılı/sözlü dil sınavına girmek zorunludur; ancak bazı üniversiteler belirli uluslararası sınavları (TOEFL, IELTS vb.) eşdeğer kabul edebilir."
64,Öğrenci,Seçim sonuçlarına itiraz süreci nasıldır?,"İtirazlar, sonuçların ilanını takip eden 3 iş günü içinde, gerekçeli bir dilekçe ile Uluslararası İlişkiler Ofisi'ne yapılmalıdır."
65,Öğrenci,Erasmus puanı nasıl hesaplanır?,"Erasmus puanı; akademik başarı (AGNO/CGPA) ve dil puanının belli oranlarda (%50-%50 veya %60-%40 gibi) ağırlıklandırılmasıyla hesaplanır."
66,Öğrenci,Öğrenciyken kaç kez Erasmus'a katılabilirim?,"Lisans, yüksek lisans ve doktora düzeylerinin her birinde toplam 12 aya kadar (öğrenim ve staj dahil) Erasmus hareketliliğine katılma hakkınız vardır."
67,Öğrenci,Daha önce Erasmus'a katıldıysam puanım kesilir mi?,"Evet, daha önce aynı öğrenim kademesinde (Lisans, Yüksek Lisans, Doktora) Erasmus'tan yararlanmış öğrencilerin puanından genellikle %10 indirim uygulanır."
68,Öğrenci,Engelli öğrencilere ek destek veya öncelik tanınıyor mu?,"Evet, özel gereksinimli öğrencilere ek hibe desteği sağlanır ve bazı üniversiteler seçimde ek puan verebilir."
69,Öğrenci,Feragat dilekçesi nedir ve ne zaman verilmelidir?,"Seçilmiş olmanıza rağmen programa katılmaktan vazgeçtiğinizde, bunu resmi olarak bildirdiğiniz dilekçedir. Belirtilen tarihe kadar feragat edenlerden hibe kesintisi yapılmaz."
70,Öğrenci,İki farklı üniversiteden kabul alırsam ne yapmalıyım?,"Sadece tek bir üniversiteden kabul almanız mümkündür. Birden fazla kabul durumunda, gitmek istediğiniz kurumu seçip diğerinden feragat etmeniz gerekir."
71,Öğrenci,Erasmus öğrencileri için zorunlu ders denklik kuralları nelerdir?,"Gidilecek kurumda alınan derslerin, ev sahibi kurumun derslerinin en az %70'ine denk olması ve Learning Agreement ile onaylanması zorunludur."
72,Öğrenci,Öğrenim hareketliliği tamamlanmadan erken dönersem hibe iade eder miyim?,"Evet, hareketliliğin zorunlu asgari süresi (genellikle 3 ay) tamamlanmadan dönülürse, kullanılan hibenin tamamı veya bir kısmı iade istenebilir."
73,Öğrenci,Staj hareketliliğinde işveren nasıl bulunur?,"Staj hareketliliği yeri, öğrencinin kendisi tarafından bulunabileceği gibi, üniversitenin kariyer merkezleri veya Erasmus ofisi aracılığıyla da bulunabilir."
74,Öğrenci,Erasmus öğrenim hareketliliği için vize başvurusunda üniversiteden hangi belgeyi almalıyım?,"Vize başvurusu için kabul mektubu (Acceptance Letter) ve hibe alıyorsanız hibe yazısı almanız gereklidir."
75,Öğrenci,Bölüm içi Erasmus koordinatörü kimdir ve ne işe yarar?,"Bölüm koordinatörü, ders denkliği süreçlerinde (Learning Agreement) size rehberlik eden ve akademik onayları veren sorumlu öğretim üyesidir."
94,Öğrenci,Erasmus başvuru önceliği kime verilir?,Öncelik, daha önce o kademede Erasmus'tan faydalanmamış, engelli öğrencilere veya şehit/gazi yakını öğrencilere verilebilir.
95,Öğrenci,Başvuru sırasında bir dil belgem yoksa ne yapmalıyım?,Dil belgesi yerine üniversitenin kendi düzenlediği dil yeterlilik sınavına girmeli veya sınav tarihini beklemelisiniz.
96,Öğrenci,Mezun olduktan sonra Erasmus stajı yapabilir miyim?,Evet, mezuniyetten sonraki 12 ay içinde (mezun olmadan başvuru yapılması koşuluyla) staj hareketliliği yapılabilir.
97,Öğrenci,Staj hareketliliği için not ortalaması (AGNO/CGPA) şartı nedir?,Staj için de öğrenim hareketliliğindeki gibi lisans için 2.20, yüksek lisans/doktora için 2.50 ve üzeri ortalama beklenir.
98,Öğrenci,Öğrenim Anlaşması (Learning Agreement) kaç nüsha hazırlanır?,Genellikle üç orijinal nüsha (öğrenci, gönderen kurum ve kabul eden kurum için) hazırlanması gerekir.
99,Öğrenci,Erasmus sırasında izinli sayılır mıyım?,Hareketlilik süresince öğrenci, kendi üniversitesinde izinli (kayıt dondurma değil) sayılır ve öğrencilik hakları devam eder.
100,Öğrenci,Erasmus'ta başarısız olduğum derslerin denklik süreci nasıl işler?,Başarısız olunan dersler Learning Agreement'ta belirtilen dersin denkliğini sağlamaz. Öğrenci bu dersi döndüğünde kendi üniversitesinde almak zorundadır.
101,Öğrenci,Ek hibe alabilmek için hangi belgeler gereklidir?,Genellikle gelir durumu beyanı, sosyal güvence belgesi veya engelli raporu gibi kanıtlayıcı belgeler talep edilir.
102,Öğrenci,Hibe, hangi para biriminde ödenir?,Hibe, Euro (€) cinsinden hesaplanır ve genellikle Euro veya o anki kur üzerinden TL olarak öğrencinin hesabına yatırılır.
103,Öğrenci,Ders değişikliği yapmazsam ne olur?,Onaylanmamış ders değişiklikleri, alınan derslerin sayılmamasına ve hareketliliğin başarısız sayılmasına yol açabilir.
104,Öğrenci,Kabul mektubum ne zaman gelir?,Kabul mektubu (Acceptance Letter) gidilecek üniversitenin akademik takvimine bağlı olarak değişir, ancak hareketlilikten 1-2 ay önce gelmesi beklenir.
105,Öğrenci,Erasmus öğrencisi, gittiği ülkede oturma izni almalı mı?,3 aydan uzun süren hareketliliklerde, AB üyesi olmayan öğrenciler için oturma izni (residence permit) almak zorunludur.
106,Öğrenci,Öğrenci Olmadan önce Erasmus'a katılabilir miyim?,Hayır, Erasmus programına başvurmak için öğrencinin kayıtlı ve en az bir dönemi tamamlamış olması gerekir.
107,Öğrenci,Erasmus başvurusunda transkript notu nasıl etkilenir?,Transkript notu (AGNO/CGPA), Erasmus puanının %50'den fazlasını oluşturduğu için en önemli seçim kriterlerinden biridir.
108,Öğrenci,Green Erasmus'ta ne tür ulaşım araçları kabul edilir?,Otobüs, tren, bisiklet veya araba paylaşımı (carpooling) gibi düşük karbon emisyonlu ulaşım araçları kabul edilir.
109,Öğrenci,Öğrenim hareketliliğinde bir dönem kaç ay sürmelidir?,Öğrenim hareketliliği en az 3 ay, en fazla 12 ay sürebilir.
110,Öğrenci,Staj yeri bulamazsam ne olur?,Staj yeri bulamayan öğrencinin başvurusu iptal edilir ve programdan feragat etmiş sayılır.
111,Öğrenci,Dil sınavı sonucunun geçerlilik süresi var mıdır?,Üniversitelerin iç sınavları genellikle o başvuru dönemi için geçerlidir, uluslararası sınavların (TOEFL/IELTS) geçerliliği ise sertifikanın düzenlendiği tarihten itibaren 2 yıldır.
112,Öğrenci,Hibe yeterli olmazsa ek destek alabileceğim kaynaklar nelerdir?,Kendi üniversitenizin bursları, gidilen ülkenin sunduğu ek burslar veya Kredi ve Yurtlar Kurumu (KYK) gibi kurumların ödemeleri destek olabilir.
113,Öğrenci,Başvuru sırasında hangi ülkeyi seçeceğimi nasıl belirlerim?,Üniversitenizin anlaşmalı olduğu kurumlar listesini inceleyerek, dil şartınıza ve akademik programınıza en uygun olanı seçmelisiniz.
114,Öğrenci,Erasmus+ Online Language Support (OLS) hangi dilleri kapsar?,OLS, program ülkelerinin resmi dillerini kapsayan çevrimiçi dil testleri ve kursları sunan bir platformdur.
115,Öğrenci,Erasmus Öğrenci elçisi (Ambassador) ne yapar?,Geri dönen öğrenciler arasında seçilen elçiler, Erasmus deneyimlerini yeni öğrencilere aktararak programın tanıtımına yardımcı olurlar.
116,Öğrenci,Staj hareketliliği için SGK (Sosyal Güvenlik Kurumu) durumu nedir?,Staj süresince öğrencinin sigorta işlemleri, gönderen kurum (üniversite) tarafından yapılır ve bunun için gerekli belgeler istenir.
117,Öğrenci,Erasmus not ortalaması sadece genel not ortalaması mıdır?,Bazı üniversiteler genel not ortalamasının yanı sıra, başvuru yapılan alana ait bölüm derslerinin ortalamasına da bakabilir.
118,Öğrenci,Konaklama bulma süreci ne kadar sürer?,Konaklama süreci, ev sahibi kurumun yönlendirmesine bağlı olarak 1 hafta ile 2 ay arasında sürebilir.
119,Öğrenci,Erasmus sırasında derslere devam zorunluluğu var mıdır?,Evet, kabul eden kurumun derslere devam kurallarına uymak zorunludur. Başarısızlık durumunda hibe kesilebilir.
120,Öğrenci,Vize başvurusu için bankada ne kadar para göstermem gerekir?,Vize istenen ülkeye ve konsolosluğa göre değişir, ancak genellikle aylık yaşam maliyetini kapsayacak miktarda para göstermeniz gerekir.
121,Öğretmen,Öğretmen hareketliliğinin amacı nedir?,Öğretmen hareketliliği, yurtdışındaki ortak kurumlarda ders verme, iyi uygulamaları öğrenme ve mesleki gelişim sağlamayı amaçlar.
122,Öğretmen,Öğretmen hareketliliği için ders verme zorunluluğu var mı?,Evet, öğretim hareketliliği (Teaching Mobility) için belirli bir saat ders verme zorunluluğu bulunur.
123,Öğretmen,Personel eğitim hareketliliğine (Staff Training) kimler katılabilir?,Üniversite veya okul personelinin idari görevlerde çalışanları, kütüphane görevlileri ve yöneticiler katılabilir.
124,Öğretmen,KA131 projesi nedir?,KA131, Yükseköğretim Kurumları için Öğrenci ve Personel Hareketliliği Projelerinin kod adıdır.
125,Öğretmen,Personel hareketliliği için hibe neye göre hesaplanır?,Hibe; gidilen ülkeye göre belirlenen günlük tutar ve kat edilen mesafeye göre hesaplanan seyahat desteği olarak sağlanır.
126,Öğretmen,Öğretmen hareketliliği için dil şartı ne kadar önemlidir?,Katılımcının ders vereceği veya eğitim alacağı kurumun çalışma dilinde yeterliliği beklenir.
127,Öğretmen,Okul ortaklıkları (KA220) projelerinde bir araya gelen kurumlar hangi konularda çalışır?,Öğretim metotlarının geliştirilmesi, kapsayıcılık, dijital araçların entegrasyonu ve müfredat geliştirme gibi konularda çalışılır.
128,Öğretmen,Proje ortakları nasıl bulunur?,E-twinning, School Education Gateway veya uluslararası partner arama platformları üzerinden bulunabilir.
129,Öğretmen,Öğretmen hareketliliği raporu nereye sunulur?,Rapor, hareketlilik bitiminde Ulusal Ajans'ın çevrimiçi sistemine doldurulur.
130,Öğretmen,Avrupa Mesleki Eğitim Hareketliliği (VET) nedir?,Mesleki eğitim alanında (KA121/KA122) öğrenci ve personel hareketliliğini kapsayan Erasmus+ faaliyetidir.
131,Öğretmen,Proje başvurusu yaparken ortaklardan alınan belgeler nelerdir?,Ortak kurumlarla imzalanan işbirliği beyannameleri veya ortaklık mektupları gereklidir.
132,Öğretmen,Öğretmen hareketliliği süresi boyunca izinli sayılır mıyım?,Evet, resmi görevlendirme ile hareket edildiği için bu süre boyunca kurumunuzdan izinli sayılırsınız.
133,Öğretmen,Gidilen kurumdan hangi belgeleri almalıyım?,Görevlendirme veya katılım sertifikası (Certificate of Attendance) almanız gerekir.
134,Genel,Erasmus+ ile hangi ülkeler Türkiye'den öğrenci kabul edebilir?,AB üyesi ülkeler, Türkiye, Norveç, İzlanda, Sırbistan ve Kuzey Makedonya gibi program ülkeleri katılabilir.
135,Genel,Erasmus hibeleri gelir vergisinden neden muaftır?,Hibeler, eğitim amaçlı sağlandığı ve gelir sağlamadığı için mevzuat gereği gelir vergisinden muaftır.
136,Genel,Erasmus+ 2021-2027 döneminin ana temaları nelerdir?,Dijitalleşme, kapsayıcılık, yeşil Erasmus ve gençlerin katılımı bu dönemin ana temalarıdır.
137,Genel,Erasmus+ programı sadece yükseköğretimi mi kapsar?,Hayır, eğitim, gençlik, spor ve yetişkin eğitimi gibi farklı alanları da kapsar.
138,Genel,Türkiye hangi statüde Erasmus+'a katılır?,Türkiye, program ülkeleri (Programme Countries) statüsünde yer alır ve programın tüm bileşenlerine tam katılım hakkına sahiptir.
139,Genel,Erasmus programından kimler hibe geri ödemesi istenir?,Hareketliliğe katılmayanlar, katılım raporunu sunmayanlar veya başarısız olanlar.
140,Genel,Erasmus öğrencileri yurt dışına çıkmak için pasaport almalı mı?,Evet, yurtdışı seyahati için geçerli bir pasaport zorunludur.
141,Genel,Erasmus+ bütçesi hangi kurum tarafından finanse edilir?,Avrupa Komisyonu tarafından finanse edilir.
142,Genel,Erasmus+ başvurusu için yaş sınırı var mıdır?,Hayır, belirli bir yaş sınırı bulunmamaktadır.
143,Genel,Personel hareketliliği için en az kaç gün sürmelidir?,Personel hareketliliği genellikle 2 günden az sürmemelidir.
144,Genel,Erasmus+ Gençlik Değişimi programının amacı nedir?,Farklı ülkelerden gençlerin bir araya gelerek kültürel paylaşım yapması ve sosyal sorumluluk projeleri geliştirmesi amaçlanır.
145,Genel,Erasmus+ Öğrenci Değişiminde vize almak zorunlu mudur?,AB üyesi olmayan ülkelerin vatandaşları
